,acc,loss,val_acc,val_loss
0,0.1711,1.94090263367,0.168,1.76121046638
1,0.3511,1.5437215168,0.502,1.36530456257
2,0.5225,1.33033160868,0.681,1.18053401279
3,0.6303,1.22517179108,0.706,1.09442418575
4,0.6864,1.13094426575,0.746,0.988410768986
5,0.706,1.0709071064,0.772,0.881873322964
6,0.7092,1.02125748539,0.772,0.847122676611
7,0.7104,1.00416719456,0.772,0.824181056738
8,0.7123,0.97850110693,0.772,0.810462724686
9,0.7076,0.95831665206,0.772,0.796211808681
10,0.7117,0.943527594757,0.772,0.790308531523
11,0.7117,0.913002959824,0.772,0.768511550903
12,0.7108,0.911045073986,0.772,0.750315024376
13,0.7139,0.889480715752,0.771,0.748888007164
14,0.7157,0.869380612469,0.772,0.732578508615
15,0.7144,0.859930916214,0.771,0.75883533287
16,0.7151,0.849682116699,0.772,0.728498954773
17,0.7116,0.835738218403,0.772,0.707534021854
18,0.712,0.834707784557,0.772,0.714261994839
19,0.7118,0.831244406986,0.77,0.718883602858
20,0.7109,0.816752907658,0.772,0.707012957573
21,0.7126,0.813293182373,0.772,0.707587774277
22,0.7188,0.796160627747,0.772,0.702895300865
23,0.7193,0.796224682045,0.768,0.707532201767
24,0.7146,0.798061333179,0.772,0.701831408024
25,0.7155,0.787752464581,0.77,0.705337361336
26,0.7129,0.785869175434,0.77,0.700813178062
27,0.7186,0.779399248219,0.767,0.708770911217
28,0.7209,0.777471353531,0.769,0.695980208874
29,0.7217,0.768896916866,0.771,0.697835319042
30,0.7195,0.766229818249,0.767,0.703396812439
31,0.7223,0.763086289024,0.769,0.707315402508
32,0.7175,0.764505440903,0.768,0.711617957115
33,0.7171,0.765525313282,0.765,0.704976541519
34,0.7214,0.751072551107,0.764,0.719306444168
35,0.7232,0.747047468376,0.762,0.694279489994
36,0.7275,0.744654177666,0.769,0.698657503128
37,0.7264,0.744935591507,0.755,0.71775359726
38,0.721,0.747703126049,0.766,0.706395662308
39,0.7265,0.739186296654,0.757,0.727654198647
40,0.7251,0.734927356911,0.767,0.703391982079
41,0.7275,0.732666167831,0.751,0.726195973396
42,0.7332,0.721221384335,0.761,0.70363565588
43,0.7337,0.726694674206,0.762,0.713699098587
44,0.7334,0.71261673975,0.757,0.72919636631
45,0.7296,0.713651965618,0.751,0.727574895382
46,0.7309,0.706359642315,0.757,0.715484045029
47,0.7344,0.713061789417,0.764,0.712116790295
48,0.7403,0.700470991993,0.761,0.717503522873
49,0.7345,0.705195513964,0.755,0.735241680622
50,0.7379,0.702896770382,0.746,0.722955972672
51,0.7387,0.691865432358,0.764,0.70232088995
52,0.7398,0.692857095242,0.755,0.711174330235
53,0.7426,0.683980813789,0.741,0.714909184933
54,0.7406,0.681636451149,0.751,0.736467871666
55,0.7474,0.667263669205,0.755,0.715903971672
56,0.7465,0.675063931274,0.755,0.707961744785
57,0.7463,0.668579310036,0.76,0.705189124107
58,0.7502,0.657050235939,0.753,0.69347649765
59,0.7582,0.649512694883,0.761,0.693745379448
60,0.7622,0.644427595329,0.766,0.647314799309
61,0.7694,0.626173760891,0.764,0.647591765404
62,0.7732,0.613502044582,0.785,0.615977938175
63,0.7909,0.588734216928,0.807,0.567566676617
64,0.8055,0.555462208176,0.807,0.546564912796
65,0.8142,0.524563143539,0.832,0.498435789108
66,0.8294,0.500625059938,0.853,0.462393222213
67,0.8413,0.467327396202,0.88,0.422008329868
68,0.85,0.440758183289,0.889,0.394921975493
69,0.869,0.404406231809,0.903,0.365404070616
70,0.8799,0.383128671479,0.915,0.329207679033
71,0.8916,0.355417291665,0.919,0.300796039164
72,0.9059,0.320299153733,0.934,0.263628862679
73,0.911,0.30315037787,0.949,0.234600277096
74,0.923,0.276415974271,0.945,0.235031258851
75,0.9327,0.246600036001,0.955,0.215921169057
76,0.9376,0.233094261223,0.962,0.185927613795
77,0.9456,0.208047745025,0.963,0.183102368206
78,0.9496,0.192069405669,0.963,0.178762184441
79,0.9491,0.182155384213,0.959,0.175588653423
80,0.9559,0.167644956094,0.965,0.176587165449
81,0.956,0.165845787358,0.963,0.166364126179
82,0.9566,0.15458043254,0.964,0.1619359001
83,0.9568,0.160761011702,0.965,0.147784823149
84,0.9619,0.139958909087,0.964,0.15458200364
85,0.9654,0.129935236964,0.968,0.136564788975
86,0.9627,0.132879463437,0.968,0.129597287191
87,0.9637,0.129430682056,0.967,0.144867931958
88,0.9677,0.118310940966,0.966,0.131292264059
89,0.9664,0.117263660276,0.97,0.12399494209
90,0.9686,0.111238963996,0.969,0.12865163836
91,0.9701,0.105850507245,0.97,0.124048184979
92,0.9697,0.105993232767,0.97,0.11668562581
93,0.9703,0.101528644787,0.968,0.131763903272
94,0.9717,0.0925534878969,0.967,0.124246768981
95,0.9726,0.0932690522216,0.966,0.120874771622
96,0.9729,0.0925212499112,0.971,0.114428748
97,0.9747,0.0855206189618,0.969,0.110011033568
98,0.975,0.0811072909221,0.969,0.120203231698
99,0.9762,0.0817090092152,0.969,0.107387991803
