,acc,loss,val_acc,val_loss
0,0.3254,1.82529341202,0.336,1.64829227066
1,0.3732,1.59210566587,0.433,1.52887291145
2,0.5254,1.33703673267,0.57,1.21481161308
3,0.592,1.20984310951,0.623,1.15151411057
4,0.6562,1.12716856651,0.711,1.05062041855
5,0.6995,1.04706962261,0.712,0.97720304203
6,0.7176,0.988518258667,0.721,0.95335086441
7,0.7301,0.940165636349,0.73,0.866632507324
8,0.7308,0.899693448353,0.743,0.833127977371
9,0.7404,0.873448879528,0.744,0.813946833611
10,0.7425,0.853011255217,0.744,0.793266109467
11,0.7474,0.822021778107,0.751,0.785870504379
12,0.7578,0.799533940315,0.753,0.762104921341
13,0.7587,0.783178417778,0.751,0.757313924789
14,0.7558,0.771427271938,0.747,0.755885637283
15,0.7585,0.761580719471,0.754,0.749584921837
16,0.7652,0.742903062344,0.755,0.725909635544
17,0.7622,0.743066245556,0.751,0.716324875832
18,0.7628,0.732862770271,0.746,0.74821131897
19,0.7665,0.722316732597,0.753,0.717603791237
20,0.7674,0.712056949425,0.763,0.716439797401
21,0.7641,0.710114029551,0.761,0.719291452408
22,0.7687,0.699761916542,0.755,0.713101387978
23,0.7712,0.690708030415,0.758,0.726194073677
24,0.771,0.687011499023,0.752,0.725348479271
25,0.7751,0.678604606676,0.753,0.719584609985
26,0.7723,0.677601436281,0.758,0.715358747482
27,0.7761,0.667537318325,0.753,0.712682422638
28,0.7783,0.661886647034,0.746,0.714081272125
29,0.7775,0.655718199825,0.753,0.723042217255
30,0.7746,0.653573477173,0.751,0.719221899986
31,0.7813,0.655644016933,0.756,0.703351655006
32,0.7814,0.637183496094,0.751,0.735946590424
33,0.7841,0.644546341181,0.752,0.713830405235
34,0.7798,0.643258151388,0.762,0.696247923851
35,0.7819,0.63318820281,0.754,0.768050964832
36,0.783,0.634787178659,0.752,0.749637114048
37,0.7843,0.628582019806,0.761,0.737068045616
38,0.7854,0.621283135986,0.762,0.717648569107
39,0.7845,0.617107935715,0.761,0.711965816498
40,0.7876,0.608391225195,0.756,0.73209643364
41,0.7905,0.61768144927,0.756,0.740798603058
42,0.7911,0.604892118573,0.761,0.717402891159
43,0.7896,0.607186910081,0.762,0.714475334167
44,0.7936,0.604437459326,0.758,0.746925559044
45,0.7928,0.597241131878,0.758,0.732979516029
46,0.7951,0.591136993217,0.743,0.753036532402
47,0.7947,0.586042918348,0.748,0.728753850937
48,0.7964,0.59032247963,0.758,0.74471538353
49,0.799,0.583981021881,0.759,0.728097002983
50,0.7879,0.598452073383,0.76,0.726662293434
51,0.7976,0.581588502932,0.761,0.773678912163
52,0.7986,0.5749768929,0.758,0.762031331062
53,0.7963,0.582457621288,0.761,0.743936413765
54,0.8007,0.570959750843,0.756,0.721523422241
55,0.7996,0.574940836287,0.752,0.754995336533
56,0.7938,0.58185532136,0.748,0.740185509682
57,0.8022,0.570041462708,0.758,0.73633586216
58,0.8026,0.562486587477,0.752,0.740087127686
59,0.8062,0.557838624144,0.755,0.734729400635
60,0.8031,0.557055612755,0.757,0.759818324089
61,0.8059,0.557358251286,0.75,0.750826694489
62,0.8085,0.560004056358,0.762,0.719172101021
63,0.8044,0.556975901604,0.747,0.731197668076
64,0.8069,0.549593243408,0.756,0.812742848396
65,0.8081,0.544168422842,0.754,0.758527687073
66,0.8057,0.549522622442,0.751,0.779865470886
67,0.81,0.543955432129,0.752,0.754109752655
68,0.812,0.538070532966,0.752,0.76495867157
69,0.8099,0.542978035402,0.75,0.759852621078
70,0.8096,0.538270643187,0.763,0.784026366234
71,0.8156,0.535198410821,0.748,0.756271783829
72,0.8162,0.528083021593,0.748,0.798617460251
73,0.8153,0.533472288322,0.759,0.774343535423
74,0.8177,0.527160278606,0.752,0.762148443222
75,0.8123,0.527496625686,0.749,0.768761508942
76,0.8173,0.52756413579,0.735,0.771171442986
77,0.8154,0.528642061996,0.746,0.770493532181
78,0.8151,0.526633687687,0.745,0.77636794281
79,0.8169,0.521087503147,0.755,0.805449188232
80,0.8224,0.510016558313,0.751,0.779115695953
81,0.8136,0.517188485956,0.742,0.782200690269
82,0.8209,0.512028901482,0.741,0.823633449554
83,0.8164,0.517924310541,0.75,0.770655835152
84,0.8233,0.499090195656,0.745,0.850591492653
85,0.8233,0.515479660058,0.747,0.808819049835
86,0.8192,0.506747003031,0.749,0.800801269531
87,0.8212,0.510652070141,0.754,0.842892109871
88,0.822,0.506771316576,0.751,0.814167489052
89,0.8231,0.496516228056,0.734,0.822319737434
90,0.8214,0.500134558868,0.757,0.822339406013
91,0.8241,0.494501583016,0.757,0.871877274513
92,0.8265,0.495186680269,0.748,0.817644352913
93,0.8249,0.494058865118,0.744,0.790368750572
94,0.8243,0.491865275145,0.748,0.819527182579
95,0.8259,0.498749716187,0.753,0.820671007156
96,0.8294,0.484514605093,0.752,0.819956223488
97,0.8234,0.494973364925,0.733,0.821015213013
98,0.8264,0.479837935209,0.743,0.802924117088
99,0.8265,0.490445358562,0.746,0.853037437439
