,acc,loss,val_acc,val_loss
0,0.0862,2.64544286613,0.09,2.50003176498
1,0.0838,2.51338237267,0.066,2.49329901886
2,0.0866,2.49768021774,0.088,2.48612308884
3,0.0923,2.48789244614,0.095,2.47629945946
4,0.1094,2.46866412735,0.088,2.46442962646
5,0.1206,2.4583233654,0.104,2.46086544418
6,0.1205,2.45492259445,0.103,2.46231661606
7,0.1195,2.45094032211,0.095,2.46261471176
8,0.1191,2.44911799927,0.099,2.45919362259
9,0.1202,2.44942542686,0.105,2.46495652771
10,0.1194,2.45117494278,0.103,2.46300585937
11,0.1218,2.4475520195,0.098,2.46204119873
12,0.1236,2.44491438293,0.104,2.46724124527
13,0.1194,2.44551449699,0.112,2.46261862564
14,0.1181,2.44313958244,0.104,2.4660105896
15,0.1262,2.44102018127,0.101,2.46638438416
16,0.1225,2.43931145325,0.109,2.47115179825
17,0.13,2.43697223663,0.099,2.46754904556
18,0.1295,2.43766413422,0.102,2.46799267006
19,0.129,2.43431845932,0.102,2.46727422333
20,0.1343,2.43170248413,0.105,2.4695916748
21,0.1326,2.43116762314,0.102,2.46891193199
22,0.1303,2.42893306808,0.104,2.47048589897
23,0.132,2.42776034088,0.093,2.47314918137
24,0.1338,2.42666171341,0.099,2.47202433968
25,0.1385,2.42534855118,0.091,2.47279769897
26,0.1377,2.42091164436,0.089,2.47705730629
27,0.1359,2.41979888649,0.102,2.47867777252
28,0.1403,2.41522236061,0.095,2.48606751633
29,0.142,2.41591166267,0.096,2.47610669899
30,0.1376,2.41673500557,0.096,2.48156492043
31,0.1477,2.41176750336,0.105,2.48141841888
32,0.1429,2.41164926376,0.079,2.48355627251
33,0.1457,2.40487752991,0.096,2.48527002335
34,0.1431,2.40676966095,0.103,2.48683972931
35,0.146,2.4019667942,0.099,2.48910205841
36,0.1513,2.39546338196,0.099,2.48487184715
37,0.1474,2.3966706337,0.098,2.48592009354
38,0.1522,2.3884246994,0.104,2.4937003746
39,0.154,2.38996468506,0.106,2.49201870537
40,0.1519,2.39083658142,0.103,2.49514626122
41,0.1589,2.38611187515,0.106,2.49179604721
42,0.1631,2.38286642532,0.101,2.49311690521
43,0.1648,2.37630762405,0.105,2.49848833466
44,0.1596,2.37831229973,0.108,2.49593442535
45,0.1603,2.37293281364,0.111,2.49712363434
46,0.1625,2.36806651611,0.106,2.50401707649
47,0.1699,2.36710436401,0.105,2.50143957138
48,0.1624,2.36838013,0.103,2.49720352173
49,0.1676,2.36191676598,0.104,2.5010119915
50,0.1653,2.36064256592,0.111,2.50216491508
51,0.1732,2.35481373825,0.109,2.50413220978
52,0.1703,2.35378069763,0.113,2.50266845322
53,0.1774,2.34783279305,0.115,2.50831468201
54,0.1708,2.35215167809,0.111,2.50451049423
55,0.1763,2.34988278999,0.106,2.51269375992
56,0.1711,2.3472549118,0.114,2.50585764694
57,0.1737,2.34101602287,0.115,2.51070478249
58,0.178,2.33788685913,0.107,2.51904063797
59,0.1759,2.33403370323,0.106,2.52577656746
60,0.1785,2.33294669571,0.106,2.5220449028
61,0.182,2.33498368111,0.105,2.51376863861
62,0.1861,2.33189416275,0.109,2.52305244446
63,0.1839,2.32632116356,0.11,2.515421772
64,0.1856,2.32837189713,0.115,2.51506854248
65,0.1853,2.3254515976,0.122,2.52006993294
66,0.185,2.32754642372,0.119,2.51490036392
67,0.1902,2.31290365906,0.112,2.52416402054
68,0.1944,2.3113464798,0.121,2.53219878197
69,0.1895,2.31541962891,0.11,2.52109997559
70,0.1872,2.31395105286,0.115,2.52381488228
71,0.1968,2.30716301498,0.121,2.53032325745
72,0.1911,2.30683065872,0.112,2.53608460999
73,0.1939,2.30826499786,0.116,2.5315230751
74,0.1888,2.30285865936,0.104,2.52714480782
75,0.197,2.30470992851,0.101,2.53353700638
76,0.1963,2.30090449066,0.106,2.53510442352
77,0.1951,2.2968225174,0.103,2.53477711296
78,0.1946,2.29481574249,0.109,2.52637908936
79,0.2012,2.28951712799,0.101,2.53630404663
80,0.1966,2.2934145462,0.104,2.5268741951
81,0.1947,2.29559278297,0.12,2.53232954216
82,0.1956,2.29409726181,0.113,2.53705109024
83,0.1974,2.28785984077,0.106,2.54024243927
84,0.2003,2.28766365891,0.11,2.54503352928
85,0.2004,2.28655323029,0.106,2.53188656235
86,0.2032,2.28191911201,0.111,2.53700122833
87,0.2015,2.27905012894,0.12,2.53118088913
88,0.2139,2.27159926682,0.115,2.53622268677
89,0.2007,2.28030183792,0.108,2.55041827774
90,0.2039,2.27343780174,0.106,2.54666534805
91,0.2021,2.27200544968,0.102,2.54301704216
92,0.2049,2.26563274231,0.109,2.53541277695
93,0.2071,2.2792617794,0.115,2.53668245125
94,0.2088,2.27280857735,0.109,2.53920890999
95,0.2026,2.27033131256,0.102,2.54390187645
96,0.2142,2.26422737999,0.109,2.53551997948
97,0.2126,2.26208152199,0.114,2.54405302811
98,0.2097,2.26980310192,0.112,2.54729418564
99,0.2095,2.26305205154,0.113,2.54226513863
