,acc,loss,val_acc,val_loss
0,0.164,1.99201025715,0.187,1.79640820408
1,0.1702,1.82892195702,0.184,1.79185999489
2,0.1747,1.80471339417,0.188,1.79147470665
3,0.1707,1.80168519211,0.159,1.79845072651
4,0.1724,1.79803206291,0.166,1.7915249939
5,0.1726,1.79595411034,0.167,1.79772542
6,0.1754,1.79377849464,0.163,1.79613077736
7,0.1726,1.79279794083,0.167,1.79449923515
8,0.1718,1.79217927189,0.183,1.79307729149
9,0.1762,1.7914269186,0.167,1.7901314621
10,0.1802,1.78942102852,0.183,1.78421133804
11,0.1811,1.78741454926,0.197,1.78366968346
12,0.1906,1.78195418167,0.218,1.77577786255
13,0.2057,1.77537800789,0.247,1.76370551872
14,0.2156,1.76978135796,0.247,1.75347933865
15,0.2246,1.7602377224,0.25,1.74455193233
16,0.2293,1.75014250107,0.267,1.72517990017
17,0.232,1.74477407303,0.227,1.73568477345
18,0.2464,1.7370394331,0.302,1.70919649792
19,0.2481,1.7316925972,0.261,1.71625990868
20,0.2416,1.72876197472,0.272,1.70642421627
21,0.258,1.72152064743,0.255,1.7022730484
22,0.2575,1.71976234035,0.26,1.70103865814
23,0.2566,1.71631293068,0.295,1.68842216301
24,0.263,1.71040988312,0.291,1.68808141518
25,0.2671,1.70669179878,0.27,1.69462732506
26,0.267,1.70517943382,0.293,1.68491899776
27,0.2668,1.70362971001,0.296,1.67886894894
28,0.2699,1.69898171349,0.308,1.66746889591
29,0.2703,1.69845302143,0.289,1.68176932335
30,0.2741,1.69765543499,0.301,1.67179500675
31,0.2802,1.69435790405,0.278,1.67422642136
32,0.2842,1.69006271687,0.306,1.66734419441
33,0.2853,1.68081370621,0.308,1.67279476738
34,0.2776,1.68918768978,0.298,1.67305568123
35,0.2859,1.68508916798,0.301,1.66329490471
36,0.2805,1.68337288399,0.299,1.65194433403
37,0.2901,1.68353059025,0.282,1.67597982216
38,0.2906,1.67504617233,0.308,1.66056414223
39,0.2853,1.67535775528,0.309,1.66331014633
40,0.2865,1.67299594498,0.313,1.65231071663
41,0.2966,1.666727565,0.308,1.65443483639
42,0.3016,1.66730310135,0.317,1.64450835323
43,0.2978,1.66420383625,0.294,1.66154677582
44,0.3012,1.66850562553,0.324,1.65280652618
45,0.313,1.65297445717,0.316,1.65830839157
46,0.3098,1.65536786938,0.302,1.67915411949
47,0.296,1.66448732529,0.317,1.6589760046
48,0.305,1.65625913105,0.319,1.65706331635
49,0.3107,1.65165134354,0.317,1.64345731926
50,0.3085,1.65329696445,0.307,1.65773070335
51,0.3131,1.64316781597,0.33,1.64386240196
52,0.3165,1.64999306488,0.303,1.66174055481
53,0.3156,1.64144488106,0.311,1.66104401493
54,0.3124,1.644008218,0.317,1.63831069756
55,0.3283,1.63280758343,0.308,1.65124803066
56,0.3191,1.63538353767,0.335,1.63854552841
57,0.3219,1.64056574097,0.329,1.64304745007
58,0.3164,1.63904617252,0.307,1.66120094585
59,0.3283,1.63014272575,0.324,1.64385746193
60,0.3284,1.63186130142,0.321,1.63857756615
61,0.333,1.62355617371,0.345,1.62870754623
62,0.3425,1.61498932648,0.342,1.6340698967
63,0.3255,1.62322991982,0.334,1.62841438389
64,0.3344,1.62076742306,0.331,1.61961404037
65,0.3246,1.62524333229,0.341,1.63767356205
66,0.3359,1.61506260777,0.342,1.62234122849
67,0.334,1.61992868996,0.336,1.63564421749
68,0.3329,1.61734175663,0.347,1.6251697197
69,0.3388,1.60617082443,0.338,1.63457076073
70,0.3347,1.60675016918,0.341,1.62858605576
71,0.3349,1.61376864929,0.347,1.60703541374
72,0.3296,1.61687131081,0.318,1.63941080952
73,0.3377,1.61025899944,0.335,1.62265888786
74,0.3373,1.61055320358,0.325,1.63488846397
75,0.3394,1.60394383831,0.328,1.61520030594
76,0.3438,1.59910736389,0.338,1.62349302673
77,0.3365,1.60786878777,0.34,1.62755783081
78,0.3423,1.59955248375,0.333,1.62289320564
79,0.3426,1.60442588177,0.337,1.61935281181
80,0.3427,1.59908733501,0.355,1.62129403496
81,0.3421,1.59874209461,0.344,1.61752975273
82,0.3407,1.59533367996,0.342,1.61671551609
83,0.3404,1.59267441521,0.333,1.62149927139
84,0.3513,1.5846301096,0.338,1.62743549442
85,0.3459,1.59672739754,0.345,1.6200262413
86,0.3496,1.59613608074,0.332,1.62029798603
87,0.3412,1.59172842751,0.344,1.62133481979
88,0.3475,1.58830209084,0.335,1.62074148273
89,0.3524,1.58832569695,0.358,1.62145379257
90,0.3494,1.59192448215,0.328,1.60984666443
91,0.3499,1.58580297642,0.352,1.61377698708
92,0.35,1.58268781281,0.325,1.60994417572
93,0.3503,1.58367501488,0.354,1.61810661316
94,0.3453,1.58922900352,0.351,1.61119458771
95,0.3506,1.58275266247,0.33,1.60837177467
96,0.3516,1.58257715111,0.337,1.62575836182
97,0.354,1.58080839539,0.349,1.61101696873
98,0.3553,1.57780854263,0.337,1.62758601761
99,0.3512,1.58061955013,0.344,1.61620824051
