,acc,loss,val_acc,val_loss
0,0.1694,1.9986042223,0.147,1.8047490654
1,0.1659,1.84290539589,0.154,1.79860449028
2,0.1689,1.81666683445,0.188,1.78509094048
3,0.1797,1.80272211304,0.211,1.77156661415
4,0.2051,1.7790903492,0.293,1.72881354332
5,0.2394,1.74464198914,0.299,1.68548653221
6,0.2647,1.71905956612,0.312,1.65890417957
7,0.2796,1.69984779396,0.358,1.64496424294
8,0.3006,1.67856841564,0.341,1.61260252762
9,0.3284,1.64832412033,0.433,1.56632968044
10,0.3623,1.61116940556,0.454,1.50725584793
11,0.3827,1.57109764042,0.472,1.46540285683
12,0.4018,1.54769190426,0.498,1.42974212933
13,0.42,1.52806492767,0.506,1.39858935165
14,0.4301,1.50380852718,0.5,1.38624567127
15,0.4269,1.50671737061,0.508,1.37762183666
16,0.4371,1.49109813423,0.498,1.35919885063
17,0.4362,1.48641239758,0.508,1.37582385159
18,0.4439,1.47787144089,0.498,1.37849531364
19,0.4422,1.47325921783,0.513,1.34773203468
20,0.448,1.46102554169,0.515,1.33318284607
21,0.4514,1.46401158142,0.505,1.3362674284
22,0.4469,1.4583820755,0.513,1.33233307934
23,0.451,1.45003902607,0.511,1.32876324272
24,0.4532,1.45359963913,0.514,1.31720281601
25,0.4526,1.44811589966,0.515,1.30308699894
26,0.4555,1.44261088409,0.513,1.30026511192
27,0.4567,1.42903648911,0.505,1.31640470409
28,0.455,1.43825692787,0.515,1.30172029495
29,0.4561,1.43404558525,0.514,1.32863798332
30,0.4591,1.42347813263,0.523,1.29835592651
31,0.469,1.41990331573,0.518,1.28145913887
32,0.4633,1.41242652397,0.519,1.28645445824
33,0.464,1.40972774048,0.507,1.29659153748
34,0.4695,1.40524327908,0.523,1.29209690094
35,0.4671,1.41151405125,0.515,1.28003202152
36,0.4689,1.40306004505,0.524,1.27929674149
37,0.4656,1.40049483871,0.501,1.28883152962
38,0.4641,1.40628657761,0.514,1.28371930313
39,0.4622,1.40220599537,0.525,1.26216821861
40,0.47,1.39726425171,0.515,1.30430187035
41,0.4657,1.40196247025,0.527,1.2668167448
42,0.469,1.38753519802,0.523,1.28009175014
43,0.4729,1.38388479004,0.513,1.2803157959
44,0.4769,1.38779588852,0.513,1.26323589706
45,0.465,1.38933651657,0.525,1.24611360264
46,0.4771,1.37083839989,0.521,1.25200975895
47,0.4702,1.37643943424,0.516,1.2589867878
48,0.4781,1.37147775059,0.52,1.27162478256
49,0.4722,1.38037094879,0.512,1.26696356964
50,0.4738,1.36827745781,0.528,1.25040150452
51,0.4804,1.3670931797,0.518,1.26941910267
52,0.4762,1.37061634846,0.52,1.26802898121
53,0.4772,1.36079840469,0.525,1.24975130081
54,0.4795,1.36411363659,0.512,1.26508076096
55,0.4811,1.36412885838,0.518,1.25475371933
56,0.4848,1.35465383301,0.536,1.23770909977
57,0.4801,1.35254893284,0.526,1.23902784348
58,0.4895,1.34669113235,0.519,1.24274560547
59,0.4857,1.36356722507,0.533,1.22516934395
60,0.4808,1.34753518353,0.522,1.24685509491
61,0.4847,1.34383839397,0.529,1.24527120209
62,0.487,1.34816908016,0.509,1.23777001286
63,0.4784,1.35623429604,0.521,1.22705673409
64,0.4929,1.33739963379,0.518,1.22927642059
65,0.4825,1.34468619919,0.534,1.21883634949
66,0.4883,1.34552953796,0.511,1.25951707077
67,0.4846,1.35034803438,0.521,1.21805241871
68,0.4913,1.33833683338,0.513,1.23217266273
69,0.4879,1.34290489311,0.528,1.23254438114
70,0.4872,1.34713732967,0.515,1.23842538548
71,0.4843,1.34220095272,0.513,1.23554270077
72,0.4794,1.34755699577,0.525,1.21314113045
73,0.4886,1.33584775982,0.519,1.23416549015
74,0.4827,1.33428291245,0.514,1.22816389465
75,0.4931,1.31929895344,0.518,1.22535481453
76,0.4841,1.34343808994,0.529,1.23418262863
77,0.4878,1.33946540947,0.51,1.22311028481
78,0.4896,1.33132474976,0.521,1.21576180744
79,0.4845,1.33808574791,0.527,1.22521842003
80,0.4965,1.32169542103,0.522,1.21340514374
81,0.4933,1.32242184315,0.504,1.25605527401
82,0.49,1.33446451778,0.523,1.21763920403
83,0.4922,1.33198045254,0.529,1.21169080734
84,0.4973,1.31750393925,0.531,1.2256987133
85,0.4925,1.3254113905,0.516,1.22340694427
86,0.4913,1.32378564644,0.525,1.22794611454
87,0.4891,1.3257132966,0.518,1.20097964668
88,0.4912,1.32374643898,0.53,1.21683694553
89,0.4955,1.32235554657,0.509,1.23132186604
90,0.4921,1.32304869328,0.512,1.22331975937
91,0.4887,1.32401393394,0.514,1.21375541496
92,0.4964,1.32205227327,0.52,1.2148261261
93,0.4925,1.31810573826,0.518,1.21285906029
94,0.495,1.31822493439,0.506,1.2297308979
95,0.4963,1.32994239502,0.518,1.20862283134
96,0.4948,1.32702328777,0.506,1.23851832771
97,0.4934,1.32461920433,0.512,1.21824121761
98,0.4975,1.3090880558,0.517,1.21179138374
99,0.4945,1.31328310699,0.528,1.20990203094
